conv_id,turn,timestamp,role,sender,language,message
1,1,2025-02-24 10:03,customer,Meera,hi,"Hi,"
1,2,2025-02-24 10:06,agent,Alex,hi,नमस्ते! मैं कैसे मदद कर सकता हूँ?
1,3,2025-02-24 10:09,customer,Meera,en,I have a question about my order — return status with my gaming mouse.
1,4,2025-02-24 10:04,agent,Alex,hi,"Sure, I can help with that, कृपया अपना ऑर्डर आईडी साझा करें."
1,5,2025-02-24 10:05,customer,Meera,en,my order id is ORD246316.
1,6,2025-02-24 10:18,agent,Alex,en,let me check that for you… असुविधा के लिए क्षमा करें.
1,7,2025-02-24 10:07,agent,Alex,en,We have verified return status; issue has been resolved.
1,8,2025-02-24 10:16,customer,Meera,hi,बहुत धन्यवाद
1,9,2025-02-24 10:09,agent,Alex,en,Have a great day!
2,1,2025-02-11 10:02,customer,Liam,en,"Hi,"
2,2,2025-02-11 10:04,agent,Morgan,en,Hello! Thanks for contacting support.
2,3,2025-02-11 10:09,customer,Liam,en,I have a question about my order — wrong item received with my USB-C charger.
2,4,2025-02-11 10:04,agent,Morgan,en,"I’ll be glad to help, could you provide the order id."
2,5,2025-02-11 10:15,customer,Liam,en,my order id is ORD197251.
2,6,2025-02-11 10:12,agent,Morgan,en,please wait a moment… we’re sorry about that.
2,7,2025-02-11 10:21,agent,Morgan,en,We have verified wrong item received; your replacement is arranged.
2,8,2025-02-11 10:08,customer,Liam,en,thank you very much
2,9,2025-02-11 10:09,agent,Morgan,en,Have a great day!
3,1,2025-01-29 10:02,customer,Nisha,es,"Hey,"
3,2,2025-01-29 10:04,agent,Jordan,es,¡Hola! ¿En qué puedo ayudarte?
3,3,2025-01-29 10:06,customer,Nisha,en,I have a question about my order — exchange request with my smartwatch.
3,4,2025-01-29 10:04,agent,Jordan,es,"I’ll be glad to help, por favor comparte tu id de pedido."
3,5,2025-01-29 10:15,customer,Nisha,en,order id ORD391476.
3,6,2025-01-29 10:18,agent,Jordan,en,please wait a moment… disculpa las molestias.
3,7,2025-01-29 10:07,agent,Jordan,en,Your smartwatch will arrive tomorrow.
3,8,2025-01-29 10:16,customer,Nisha,es,muchas gracias
